Primary ID		M13.p(ctr)[1]	M13.p(corr)[1]
9.99		2.28504e-06	0.0509134
9.97		1.17638e-06	0.0292254
9.95		3.60572e-06	0.122232
9.93		8.47195e-06	0.225672
9.91		1.0732e-06	0.0399202
9.89		-1.68076e-06	-0.0580013
9.87		6.84955e-07	0.0332958
9.85		2.91253e-06	0.0776492
9.83		1.91401e-06	0.0927912
9.81		-7.52006e-06	-0.19016
9.79		5.05e-06	0.28271
9.77		-2.54631e-06	-0.071433
9.75		6.95103e-06	0.313318
9.73		-6.79091e-06	-0.172224
9.71		-1.82504e-06	-0.0340102
9.69		-2.05447e-05	-0.269997
9.67		-2.22564e-06	-0.017469
9.65		-4.15256e-06	-0.0862864
9.63		-8.94715e-07	-0.0441242
9.61		-6.92741e-06	-0.124194
9.59		2.61373e-06	0.209389
9.57		2.41063e-06	0.030079
9.55		-1.25279e-06	-0.0899823
9.53		1.59933e-06	0.0367484
9.51		1.75198e-06	0.115685
9.49		3.9915e-06	0.0945143
9.47		-1.63486e-06	-0.0808484
9.45		2.94708e-06	0.0368602
9.43		5.58714e-07	0.0284177
9.41		9.33869e-07	0.0219553
9.39		5.67565e-07	0.0235993
9.37		6.3741e-07	0.0115499
9.35		1.62377e-06	0.0642054
9.33		9.53081e-06	0.18003
9.31		-6.67885e-06	-0.244317
9.29		-1.53726e-06	-0.0431177
9.27		3.93881e-06	0.106545
9.25		5.90579e-06	0.155478
9.23		2.30253e-06	0.0742294
9.21		7.09494e-06	0.169797
9.19		-5.46868e-06	-0.144318
9.17		-1.90681e-06	-0.0553178
9.15		6.73561e-06	0.173954
9.13		6.4786e-06	0.145914
9.11		-1.91709e-06	-0.0566206
9.09		3.10203e-06	0.0908935
9.07		2.54549e-06	0.0597088
9.05		2.11603e-06	0.0230205
9.03		-3.34198e-06	-0.0792538
9.01		-5.76998e-06	-0.160761
8.99		-1.75583e-06	-0.0271159
8.97		-8.22124e-07	-0.0363362
8.95		1.09504e-05	0.178545
8.93		-3.1719e-05	-0.150216
8.91		-3.39722e-06	-0.0862136
8.89		-1.50618e-06	-0.0704291
8.87		8.64431e-06	0.217245
8.85		2.51683e-06	0.130055
8.83		-9.50778e-07	-0.026847
8.81		1.15888e-06	0.0647544
8.79		1.07807e-06	0.0228329
8.77		3.97417e-06	0.262084
8.75		-4.12739e-06	-0.0532752
8.73		-3.0981e-07	-0.00455791
8.71		1.16744e-05	0.167712
8.69		1.21969e-05	0.268226
8.67		7.60522e-06	0.120142
8.65		2.48454e-06	0.136216
8.63		-5.79888e-06	-0.0702737
8.61		-2.15356e-05	-0.190367
8.59		-2.85621e-05	-0.167019
8.57		1.6244e-05	0.139297
8.55		6.04411e-06	0.0784966
8.53		-2.78184e-06	-0.0724555
8.51		-1.08167e-06	-0.00137457
8.49		-0.000147887	-0.142021
8.47		-0.00109165	-0.235234
8.45		-0.00132795	-0.0577341
8.43		-0.0143714	-0.44421
8.41		-0.00454359	-0.372453
8.39		-0.00837089	-0.36272
8.37		-0.00126796	-0.333356
8.35		-6.57556e-05	-0.054974
8.33		0.00029736	0.138402
8.31		1.03097e-05	0.00309437
8.29		-9.03027e-05	-0.0685248
8.27		-3.60205e-05	-0.0474905
8.25		-0.000247532	-0.290428
8.23		-0.000321181	-0.136164
8.21		-0.000590519	-0.183792
