Primary ID	age	Class	M14.t[1]	M14.to[1]
10005511cSe_1	c	1	-1.49437	-5.09293
10007811cSe_1	c	1	-0.553673	-5.27646
10009811cSe_1	c	1	-0.975406	-0.672037
10011411cSe_1	c	1	-0.28228	0.37558
10011511cSe_1	c	1	-0.547064	0.303844
10012311cSe_1	c	1	-0.669583	3.15776
10014811cSe_1	c	1	-1.96485	-6.12584
10014911cSe_1	c	1	-1.98444	1.26707
10015111cSe_1	c	1	-2.93895	-10.093
10018911cSe_1	c	1	-1.31677	-10.2569
10019511cSe_1	c	1	0.0625072	-3.87994
10019611cSe_1	c	1	-0.202911	12.9406
10014511cSe_1	c	1	-2.07948	-9.0695
10014611cSe_1	c	1	-1.571	23.9332
10019811cSe_1	c	1	-2.73729	16.5179
10020911cSe_1	c	1	-1.42688	-5.832
10021011cSe_1	c	1	-1.61285	-13.1154
10022611cSe_1	c	2	5.48378	-6.47621
10022711cSe_1	c	2	6.12838	-0.135987
10023211cSe_1	c	1	-2.10384	6.20691
11001511cSe_1	c	1	1.88052	1.15769
11001811cSe_1	c	2	3.04595	-0.977588
11001911cSe_1	c	2	4.96202	13.98
11002311cSe_1	c	1	1.86575	-1.58266
10009211cSe_1	c	1	-2.34109	1.64891
10011311cSe_1	c	1	-1.29356	-4.41506
10020211cSe_1	c	1	0.620148	-4.99938
10021211cSe_1	c	2	8.05475	-2.33663
10022011cSe_1	c	1	-0.280892	1.66978
10024411cSe_1	c	2	6.37421	15.7384
10024511cSe_1	c	1	-1.63447	-14.351
10024611cSe_1	c	2	1.47535	-4.51392
10024911cSe_1	c	1	-1.91426	22.3768
10005311cSe_1	c	1	-1.89257	10.7545
10006811cSe_1	c	1	-2.90551	13.841
10009311cSe_1	c	1	-0.655667	-3.28731
10016611cSe_1	c	1	-0.455917	12.1759
10023111cSe_1	c	1	-0.100796	-5.66314
10026511cSe_1	c	1	-2.30943	23.3115
10028511cSe_1	c	1	-0.749681	8.4398
10029511cSe_1	c	1	-2.05369	3.81296
11003311cSe_1	c	1	-0.778489	4.17601
11004911cSe_1	c	1	-0.765796	-3.91741
10005711cSe_1	c	2	5.70191	-1.27108
10006111cSe_1	c	1	-3.8033	-7.45973
10008011cSe_1	c	2	6.58559	-1.71354
10012711cSe_1	c	1	-2.52167	0.747356
10015311cSe_1	c	1	-3.01671	-10.7268
10021311cSe_1	c	2	2.17999	-6.06719
10021511cSe_1	c	1	-1.39847	0.159566
10023811cSe_1	c	1	1.25026	5.15746
10024811cSe_1	c	1	-1.19118	12.2771
11001311cSe_1	c	2	6.22684	6.27613
10023511cSe_1	c	2	5.57675	3.70689
10029911cSe_1	c	1	-1.76306	-1.21772
10009511cSe_1	c	1	-4.47097	2.5501
10011011cSe_1	c	1	-2.60073	11.6088
11002411cSe_1	c	1	-1.9913	21.1978
11004111cSe_1	c	1	-0.0609012	-5.13817
11004511cSe_1	c	2	2.2617	1.3532
10008211cSe_1	c	1	-0.160709	0.679863
10010811cSe_1	c	1	-0.59544	-5.50777
10014411cSe_1	c	1	0.0631808	-6.22802
10017711cSe_1	c	1	-0.038139	-3.54649
10018611cSe_1	c	2	2.8453	-3.20878
10020811cSe_1	c	2	3.38813	-4.73758
10023411cSe_1	c	1	0.729308	-2.27991
10024011cSe_1	c	1	-1.14695	-5.6428
10024111cSe_1	c	1	-0.891577	-10.2302
10025111cSe_1	c	1	-1.38582	-7.53806
10025911cSe_1	c	2	4.19323	-5.81546
10026411cSe_1	c	1	-1.39905	-4.95476
10026811cSe_1	c	1	-0.321916	-10.7133
10027611cSe_1	c	1	-0.400535	0.288071
10028211cSe_1	c	1	-0.574816	-8.85677
11003211cSe_1	c	1	-2.28144	-8.95602
10006511cSe_1	c	1	-0.243029	-2.87249
10015711cSe_1	c	2	4.11008	-1.51442
10016111cSe_1	c	2	3.19214	-2.28632
10019111cSe_1	c	1	-1.88514	14.8348
10020511cSe_1	c	1	-0.229142	-6.40735
10025211cSe_1	c	1	-2.48056	1.79656
10029611cSe_1	c	1	-0.567476	-2.10612
11004611cSe_1	c	1	-2.86762	-11.0889
11005711cSe_1	c	1	-3.37668	-10.264
