Primary ID		M14.p(ctr)[1]	M14.p(corr)[1]
9.99		2.77918e-05	0.369085
9.97		-1.1409e-05	-0.235388
9.95		-7.57823e-06	-0.193785
9.93		1.47983e-06	0.0294515
9.91		-6.59053e-07	-0.0247803
9.89		9.03179e-07	0.0206424
9.87		-3.1598e-07	-0.00808741
9.85		-2.32434e-07	-0.00536873
9.83		3.28513e-06	0.130203
9.81		-2.86636e-06	-0.077573
9.79		-6.55432e-06	-0.233874
9.77		8.49201e-06	0.198821
9.75		1.91629e-06	0.105346
9.73		1.05589e-06	0.0197379
9.71		1.24698e-06	0.0664935
9.69		-9.10394e-06	-0.0372739
9.67		-8.42536e-06	-0.050939
9.65		-4.56754e-06	-0.0751463
9.63		-1.01892e-06	-0.034944
9.61		5.05679e-07	0.00568388
9.59		-3.8554e-06	-0.19088
9.57		2.7313e-05	0.194735
9.55		-4.45089e-06	-0.219003
9.53		-1.52464e-05	-0.292196
9.51		2.54357e-07	0.0153023
9.49		-9.30274e-07	-0.0175235
9.47		3.41769e-06	0.162584
9.45		-3.495e-05	-0.212342
9.43		1.08563e-06	0.0395217
9.41		-1.79549e-06	-0.0282343
9.39		9.24616e-06	0.206582
9.37		-2.40229e-06	-0.0282523
9.35		4.76612e-06	0.141315
9.33		-7.3429e-06	-0.11047
9.31		5.31288e-06	0.125875
9.29		-1.33081e-05	-0.175636
9.27		1.15967e-06	0.0317372
9.25		5.74637e-06	0.0961714
9.23		-6.06826e-06	-0.168466
9.21		-1.56447e-05	-0.348225
9.19		2.48812e-06	0.0406993
9.17		-1.13513e-06	-0.027692
9.15		-1.81917e-05	-0.218046
9.13		-2.14619e-05	-0.247619
9.11		-1.10161e-05	-0.0611403
9.09		-6.24766e-05	-0.256949
9.07		-5.30959e-05	-0.219985
9.05		-0.000162937	-0.209826
9.03		-3.01901e-05	-0.301815
9.01		-6.37621e-05	-0.216296
8.99		1.00872e-05	0.117557
8.97		9.39636e-06	0.284123
8.95		-1.69281e-05	-0.158228
8.93		2.47371e-05	0.0596215
8.91		-1.94673e-06	-0.0323413
8.89		-3.0627e-06	-0.0904238
8.87		-1.26545e-06	-0.0200103
8.85		-2.96282e-06	-0.136204
8.83		9.47768e-06	0.146058
8.81		-1.04906e-06	-0.0391247
8.79		2.42519e-05	0.336984
8.77		-6.68749e-06	-0.145555
8.75		-5.69741e-06	-0.0523849
8.73		-1.66419e-06	-0.0288397
8.71		-2.23093e-05	-0.180851
8.69		3.37885e-06	0.0759974
8.67		1.53448e-05	0.168991
8.65		-6.57751e-06	-0.237612
8.63		-2.95692e-06	-0.0312167
8.61		1.7714e-05	0.0796895
8.59		9.82999e-06	0.0322692
8.57		3.17411e-05	0.146279
8.55		2.07998e-05	0.166912
8.53		-8.7142e-06	-0.138154
8.51		-1.77443e-05	-0.10997
8.49		-0.000186624	-0.178769
8.47		-0.00184045	-0.170755
8.45		0.000930205	0.0263712
8.43		-0.00768589	-0.279426
8.41		-0.00029104	-0.0461464
