Primary ID		M12.p(ctr)[1]	M12.p(corr)[1]
6.87		3.19513e-06	0.00543401
6.85		-8.64072e-05	-0.0355245
6.83		-5.28651e-05	-0.0385083
6.81		1.57958e-05	0.0897546
6.79		1.17806e-05	0.139021
6.77		9.43202e-06	0.306898
6.75		1.18363e-05	0.222961
6.73		-5.6709e-06	-0.215344
6.71		-1.07302e-05	-0.175191
6.69		7.36073e-07	0.0257497
6.67		-2.5244e-06	-0.0433708
6.65		-4.85637e-06	-0.0653102
6.63		-8.87673e-06	-0.0844181
6.61		2.16966e-06	0.0601743
6.59		-3.43825e-06	-0.0666967
6.57		8.90373e-07	0.00937558
6.55		6.20985e-06	0.170115
6.53		-5.20462e-06	-0.134405
6.51		0.000111348	0.143719
6.49		1.07826e-05	0.147596
6.47		4.75644e-06	0.0786897
6.45		6.3561e-06	0.129368
6.43		-1.083e-05	-0.104829
6.41		-8.2541e-06	-0.109978
6.39		-5.1379e-06	-0.0495013
6.37		-9.96311e-07	-0.00916566
6.35		-5.03752e-06	-0.146358
6.33		2.41819e-06	0.0391481
6.31		-2.47846e-06	-0.0856341
6.29		1.33769e-05	0.116218
6.27		-5.02757e-06	-0.0253512
6.25		-1.82287e-05	-0.312737
6.23		-2.10444e-06	-0.0976541
6.21		1.17977e-05	0.194526
6.19		4.65324e-06	0.0123904
6.17		-9.8538e-06	-0.0797272
6.15		1.95127e-06	0.0467166
6.13		1.74834e-06	0.0108491
6.11		3.99105e-06	0.0246483
6.09		5.19658e-05	0.139621
6.07		-4.41885e-06	-0.0364412
6.05		-1.08112e-06	-0.00636062
6.03		1.57001e-05	0.0797353
6.01		5.69307e-05	0.179438
5.99		-3.57657e-06	-0.0266672
5.97		2.0066e-05	0.0444519
5.95		-1.23589e-05	-0.0384475
5.93		-8.64272e-06	-0.0534223
5.91		4.98975e-05	0.151704
5.89		0.00012377	0.153544
5.87		-5.74288e-06	-0.0379394
5.85		-1.07446e-05	-0.0593491
5.83		-5.51276e-05	-0.145239
5.81		-9.44869e-05	-0.225001
5.79		-7.80823e-05	-0.102295
5.77		-0.000111068	-0.140519
5.75		-6.73784e-05	-0.102515
5.73		-5.78088e-05	-0.116684
5.71		-2.60631e-05	-0.0544563
5.69		9.8838e-05	0.051913
5.67		-5.02558e-05	-0.122211
5.65		-1.69181e-06	-0.00782447
5.63		-9.63817e-06	-0.148951
5.61		1.57819e-05	0.0803531
5.59		1.73615e-05	0.0432771
5.57		6.87048e-06	0.0729694
5.55		-4.8364e-05	-0.0660532
5.53		-7.1553e-05	-0.037301
5.51		-8.02921e-05	-0.0311947
5.49		-0.000303118	-0.11609
5.47		-0.000340962	-0.119796
5.45		-0.00174724	-0.472226
5.43		0.00396961	0.218861
5.41		0.000110678	0.00878813
5.39		-0.00182049	-0.381572
5.37		0.00441936	0.461848
5.35		-0.000740727	-0.0791291
5.33		-0.00211678	-0.127396
5.31		-0.02488	-0.485822
5.29		-0.00950834	-0.396769
5.27		-0.00785986	-0.420662
5.25		0.00138678	0.0443581
5.23		-0.012721	-0.241402
5.21		-0.000845075	-0.0385242
5.19		-0.00729401	-0.230666
5.17		-0.00760647	-0.363242
5.15		-0.00486167	-0.45741
5.13		-0.00019484	-0.0184471
5.11		0.00403781	0.265274
5.09		0.0024897	0.274805
5.07		0.000904456	0.235812
5.05		0.000175775	0.0588607
5.03		0.00216657	0.400449
5.01		0.00157513	0.0798138
4.99		-5.68992e-06	-0.00096611
4.97		-0.000642704	-0.073837
4.95		-0.000855295	-0.0677264
4.93		-0.0012775	-0.0695431
4.91		-0.00178345	-0.0662616
4.89		-0.00251918	-0.0616092
4.67		0.000421122	0.0134618
4.65		-0.00809544	-0.211778
4.63		-0.0182856	-0.43684
4.61		-0.0113558	-0.341351
4.59		-0.00625271	-0.0553619
4.57		0.00473337	0.0865449
4.55		-0.00124209	-0.0495667
4.53		-0.00731881	-0.445554
4.51		-0.0135132	-0.351853
4.49		-1.15037e-05	-0.000279472
4.47		-0.00259137	-0.0221223
4.45		0.0103742	0.263369
4.43		0.0273329	0.316931
4.41		-0.00597675	-0.141674
4.39		-0.000257721	-0.0843697
4.37		5.50784e-06	0.00219755
4.35		-0.000944376	-0.287475
4.33		-0.0054581	-0.399994
4.31		-0.000792318	-0.274031
4.29		-0.00905181	-0.496027
4.27		-0.00992196	-0.433166
4.25		-0.00956397	-0.454045
4.23		-0.0101389	-0.446531
4.21		-0.0139275	-0.331997
4.19		-0.0096193	-0.0575327
4.17		0.00207795	0.0540669
4.15		0.0124799	0.269224
4.13		-0.0209111	-0.424109
4.11		0.0131151	0.181768
4.09		0.0180893	0.344674
4.07		0.0078028	0.224785
4.05		0.00719292	0.338328
4.03		-0.00223439	-0.112883
4.01		-0.000555336	-0.0157951
3.99		-0.00571892	-0.124951
3.97		0.0079571	0.105765
3.95		0.0294982	0.207641
3.93		-0.000133872	-0.000789871
3.91		0.00546229	0.0320998
3.89		-0.0168538	-0.0726137
3.87		-0.0056653	-0.0355806
3.85		-0.00425959	-0.028446
3.83		-0.035309	-0.181916
3.81		-0.0932026	-0.318825
3.79		-0.0559082	-0.172674
3.77		-0.00899053	-0.0326214
3.75		-0.0338545	-0.111184
3.73		-0.0285614	-0.13759
3.71		-0.0153893	-0.0701088
3.69		-0.0271366	-0.167588
3.67		-0.0464439	-0.159731
3.65		0.0349777	0.0961284
3.63		0.0425589	0.161429
3.61		0.014694	0.126056
3.59		0.00100052	0.00468733
3.57		0.0137814	0.0638342
3.55		0.0474645	0.158587
3.53		0.0179592	0.206714
3.51		-0.00244021	-0.0371758
3.49		0.0033052	0.040264
3.47		0.00709397	0.0932447
3.45		-0.00108948	-0.0265846
3.43		-0.0035629	-0.160714
3.41		0.00262462	0.124559
3.39		0.00275943	0.140249
3.37		0.000294492	0.0711366
3.35		-0.000101743	-0.0352997
3.33		0.00168006	0.215346
3.31		-0.00240594	-0.0861086
3.29		-0.0116097	-0.248381
3.27		-0.00291002	-0.0449704
3.25		0.0010418	0.0702789
3.23		0.00309304	0.151828
3.21		0.0010274	0.115053
3.19		0.00159156	0.128545
3.17		0.000804836	0.160521
3.15		0.000992561	0.211596
3.13		0.00562871	0.186269
3.11		-0.00260963	-0.089082
3.09		-0.000773415	-0.0955255
3.07		-0.000922455	-0.117853
3.05		0.000734841	0.14149
3.03		0.00163395	0.151162
3.01		0.00496006	0.190294
2.99		0.00192299	0.200096
2.97		0.000391406	0.292912
2.95		8.28835e-05	0.0922986
2.93		0.000147171	0.089494
2.91		7.97519e-05	0.0391008
2.89		-1.30776e-05	-0.0114515
2.87		-0.000145068	-0.0912839
2.85		0.00029297	0.0735802
2.83		-0.000178522	-0.108391
2.81		0.000438706	0.104592
2.79		0.000447111	0.0756366
2.77		0.000523634	0.0679762
2.75		0.00274081	0.168184
2.73		0.00167751	0.146347
2.71		0.00234098	0.177681
2.69		0.00407233	0.142435
2.67		0.0106162	0.326171
2.65		0.00661093	0.241931
2.63		0.000706481	0.253502
2.61		2.3806e-05	0.0449768
2.59		2.96009e-05	0.0445759
2.57		0.000650361	0.0836958
2.55		0.00933032	0.237987
2.53		0.00639349	0.21929
2.51		5.44153e-05	0.0136821
2.49		0.000237568	0.131735
2.47		0.000479019	0.251541
2.45		0.000712134	0.237523
2.43		0.000644833	0.145081
2.41		0.00477716	0.286587
2.39		0.0579215	0.165367
2.37		0.00116004	0.110252
2.35		0.00521724	0.248133
2.33		0.00343645	0.230888
2.31		0.000724602	0.0848999
2.29		0.00157233	0.0986736
2.27		0.00152053	0.139135
2.25		-2.77944e-05	-0.0028265
2.23		-0.000587191	-0.0505701
2.21		0.00238243	0.0968018
2.19		0.000224074	0.0275821
2.17		0.00302885	0.0977308
2.15		0.000602853	0.0454806
2.13		0.00599456	0.204483
2.11		0.0025264	0.116093
2.09		0.00199164	0.0613458
2.07		-0.00126806	-0.0175166
2.05		-0.0541958	-0.184378
2.03		0.105794	0.328637
2.01		0.0349573	0.27
1.99		0.00412484	0.111628
1.97		0.00418726	0.230273
1.95		0.00284829	0.195243
1.93		0.00329607	0.265837
1.91		0.090862	0.252079
1.89		0.00733116	0.19165
1.87		0.00150764	0.107288
1.85		-2.10255e-05	-0.00824367
1.83		0.000706034	0.115884
1.81		-2.18321e-05	-0.00237044
1.79		0.00110079	0.0901098
1.77		0.00402123	0.110849
