Primary ID	age	Class	M13.t[1]	M13.to[1]
10007811cSd_1	c	1	-0.604773	-5.60438
10008111cSd_1	c	2	8.85775	2.85408
10010611cSd_1	c	1	-2.68323	7.29836
10011411cSd_1	c	1	-3.78945	2.11637
10012311cSd_1	c	1	-3.18892	6.67013
10014811cSd_1	c	1	0.0651815	-4.94102
10014911cSd_1	c	1	-1.63744	-1.5872
10015111cSd_1	c	1	-2.19257	-3.7851
10016011cSd_1	c	1	-3.79849	5.03475
10017511cSd_1	c	1	1.4529	8.8905
10018911cSd_1	c	1	0.604234	1.25816
10019611cSd_1	c	1	-1.52284	6.9696
10019811cSd_1	c	1	-2.2015	10.9109
10021011cSd_1	c	1	0.0990453	-10.9422
10022611cSd_1	c	2	5.40323	-3.52866
10023211cSd_1	c	1	-2.14601	3.47106
10023711cSd_1	c	2	5.84751	3.33771
11001511cSd_1	c	1	0.102321	9.30243
11001911cSd_1	c	2	11.3543	12.9008
11002311cSd_1	c	1	-0.705671	-8.01666
10012811cSd_1	c	1	-4.59979	8.12099
10015911cSd_1	c	1	-1.42058	8.69903
10024411cSd_1	c	2	7.30922	7.54743
10024511cSd_1	c	1	-0.717842	-11.3672
10024611cSd_1	c	2	7.26266	-16.3472
10005311cSd_1	c	1	-1.20082	13.2933
10007511cSd_1	c	1	-0.302758	7.08217
11004711cSd_1	c	1	-3.78206	8.33427
10016611cSd_1	c	1	-1.55667	3.71849
10023111cSd_1	c	1	-1.0645	0.105585
10026111cSd_1	c	1	0.945009	6.57882
10026511cSd_1	c	1	-3.10219	10.9502
10026611cSd_1	c	1	-1.17494	7.25521
10028511cSd_1	c	1	-1.79868	2.42519
10029011cSd_1	c	2	7.00069	-3.23381
11003311cSd_1	c	1	-2.45973	10.4624
11004911cSd_1	c	1	-2.27583	1.21091
11005111cSd_1	c	1	-2.75229	12.1383
10007311cSd_1	c	2	9.47099	12.5129
10015311cSd_1	c	1	-1.2135	-12.616
10017311cSd_1	c	1	-0.352803	9.72684
10021511cSd_1	c	1	-1.96509	-13.0971
10023811cSd_1	c	1	1.25731	7.05153
10024811cSd_1	c	1	-2.65029	5.83555
10029911cSd_1	c	1	-1.91323	2.24936
10030211cSd_1	c	1	-2.47629	4.09563
10013611cSd_1	c	1	-2.4889	3.10393
10018811cSd_1	c	1	-0.340765	6.56363
10020711cSd_1	c	1	-1.5631	4.9207
11002411cSd_1	c	1	-1.56759	11.7207
11004111cSd_1	c	1	-0.675302	7.5071
11004311cSd_1	c	1	-2.67245	8.99396
11004511cSd_1	c	2	8.06215	11.7268
10010811cSd_1	c	1	-0.215247	-8.986
10014411cSd_1	c	1	0.0141683	-12.6318
10018611cSd_1	c	2	7.6991	-12.795
10020611cSd_1	c	1	-2.19092	-16.4318
10020811cSd_1	c	2	4.79041	-13.0411
10023411cSd_1	c	1	-2.50865	-5.21521
10024111cSd_1	c	1	-1.82131	-2.47417
10025111cSd_1	c	1	-1.3541	-12.5295
10025911cSd_1	c	2	4.48682	-8.68522
10026411cSd_1	c	1	-0.617053	-12.3934
10026811cSd_1	c	1	-2.76036	-16.9638
10027611cSd_1	c	1	-2.9449	6.8786
10028211cSd_1	c	1	-2.94453	-13.63
11003211cSd_1	c	1	-0.128301	-14.7386
10007611cSd_1	c	1	-0.224554	-8.07375
10016111cSd_1	c	2	3.78315	6.75127
10019111cSd_1	c	1	-1.22001	2.30491
10019711cSd_1	c	1	0.0204709	9.15636
10020011cSd_1	c	1	-1.50116	-10.3812
10025211cSd_1	c	1	0.260873	10.1992
10027111cSd_1	c	1	-0.190983	-16.4754
10029611cSd_1	c	1	-2.1488	-7.9968
11001611cSd_1	c	1	-0.15325	-13.7022
11004611cSd_1	c	1	-0.612899	-19.7676
11005211cSd_1	c	1	-0.0536098	1.74304
