Primary ID		M2.p[1]	M2.p[2]
6.25		-0.0303326	-0.0490217
6.23		-0.0110318	-0.0189266
6.21		-0.0364755	0.014687
6.19		0.0176406	0.00929899
6.17		-0.015311	0.00116896
6.15		-0.0208879	-0.0131487
6.13		-0.0326434	-0.0480078
6.11		-0.0284785	-0.0217242
6.09		-0.00696897	0.00277473
6.07		-0.0274948	-0.0435456
6.05		-0.0408156	-0.0344947
6.03		-0.0153046	-0.0395123
6.01		-0.0146901	-0.0189435
5.99		-0.0218097	-0.0415816
5.97		-0.018968	-0.00513644
5.95		-0.0241634	-0.0133018
5.93		-0.0232683	-0.0304434
5.91		-0.0369203	-0.00878372
5.89		-0.0438511	0.0428211
5.87		-0.0287097	0.00572973
5.85		-0.00502063	-0.0128378
5.83		0.0115845	-0.0148022
5.81		0.00341885	-0.0197211
5.79		-0.0387766	-0.00523813
5.77		0.0334296	0.0159808
5.75		0.0367996	0.0182211
5.73		0.0463688	0.0165079
5.71		0.0375573	-9.38578e-05
5.69		-0.00275575	0.00114592
5.67		-0.0197563	-0.0244907
5.65		-0.0202285	-0.0248085
5.63		-0.0135294	-0.0257995
5.61		-0.00575563	0.00208977
5.59		-0.00186462	0.00507418
5.57		-0.00519475	-0.0161215
5.55		0.00418196	-0.0152233
5.53		0.00536857	-0.0115827
5.51		0.0118694	-0.000326907
5.49		0.0266233	-0.0537221
5.47		0.0112831	-0.0349549
5.45		0.0622066	0.0048167
5.43		0.0552969	0.0179881
5.41		0.0166288	0.0199633
5.39		0.0223219	-0.0167224
5.37		0.0507314	0.00976608
5.35		0.0214542	0.00723567
5.33		0.0264476	0.000970471
5.31		0.0631907	-0.00517087
5.29		0.0585753	-0.0138472
5.27		0.0720523	0.00210789
5.25		0.0355097	0.00959456
5.23		0.0934716	-0.0160927
5.21		0.102751	0.0166655
5.19		0.0675025	0.0438755
5.17		0.0786498	0.0292582
5.15		0.0703308	0.0502955
5.13		0.079721	0.0528751
5.11		0.0756037	0.0504101
5.09		0.0681805	0.0479835
5.07		0.057581	0.0417104
5.05		0.00461864	0.00384938
5.03		0.0584554	0.0396776
5.01		0.0742062	0.0505431
4.99		-0.0057659	-0.0277519
4.97		-0.0125481	-0.032354
4.95		-0.0164034	-0.0307523
4.93		-0.0104613	-0.0246713
4.91		-0.00713268	-0.015775
4.89		-0.00639543	-0.011344
4.67		0.0432994	-0.0320035
4.65		0.0813795	-0.00815413
4.63		0.056333	-0.0101098
4.61		0.0623272	-0.0301254
4.59		0.056849	-0.0496219
4.57		0.0336219	-0.0021192
4.55		0.0455238	-0.0137043
4.53		0.0578014	0.00844131
4.51		0.0876918	0.00560219
4.49		0.0839857	-0.013342
4.47		0.0605658	-0.0392193
4.45		0.0986964	0.0306784
4.43		0.0917606	0.03906
4.41		0.0919296	0.0424719
4.39		0.0626797	0.042648
4.37		-0.0224613	-0.00148577
4.35		0.0637554	0.0675069
4.33		0.072986	0.0621699
4.31		0.0097784	0.0436625
4.29		0.0522256	0.00307297
4.27		0.0667825	0.0128021
4.25		0.0731647	0.023028
4.23		0.0722539	0.0194655
4.21		0.0711927	-0.0115097
4.19		0.046362	-0.0470577
4.17		0.0560078	-0.00348098
4.15		0.0775128	0.0490932
4.13		0.0858911	0.0516902
4.11		0.0382621	0.0240462
4.09		0.0628427	0.0262137
4.07		0.0807442	0.0441918
4.05		0.0390894	0.0691351
4.03		-0.00108361	0.00168741
4.01		0.0374344	0.0555502
3.99		0.0920127	0.0642896
3.97		0.102351	0.0384677
3.95		0.100946	0.0279056
3.93		0.104772	0.0206027
3.91		0.1026	0.0139768
3.89		0.0978043	0.0476713
3.87		0.10304	0.0470001
3.85		0.103381	0.0424817
3.83		0.102359	0.0198467
3.81		0.103831	0.0121952
3.79		0.105636	0.0161677
3.77		0.0980753	0.00981921
3.75		0.10086	0.0265705
3.73		0.103082	0.0520955
3.71		0.10341	0.0459585
3.69		0.1009	0.0439056
3.67		0.0910009	-0.0112886
3.65		0.0907853	-0.00237239
3.63		0.0950861	0.0181754
3.61		0.102369	0.0386984
3.59		0.104847	0.023772
3.57		0.101905	0.0164661
3.55		0.0634781	0.0277962
3.53		0.0929039	0.063194
3.51		0.0919565	0.0687649
3.49		0.0929711	0.0449923
3.47		0.0848064	0.0330424
3.45		0.0304775	0.0491369
3.43		0.00848391	0.056531
3.41		-0.0476008	0.019779
3.39		-0.0302023	0.0135823
3.37		0.025966	0.00766335
3.35		-0.0347569	-0.0223953
3.33		0.00127694	0.0658442
3.31		0.0617719	0.00387648
3.29		0.0947089	0.0252236
3.27		0.093327	0.0172149
3.25		-0.0115716	0.051868
3.23		-0.0413359	0.0459456
3.21		-0.00313846	0.05121
3.19		-0.0188184	0.101294
3.17		-0.0431985	0.076046
3.15		-0.0261505	0.0653317
3.13		0.0193639	0.0263409
3.11		-0.0137248	0.0312354
3.09		-0.0259495	0.0545003
3.07		0.0104108	0.0544171
3.05		-0.0524505	0.0886376
3.03		-0.0497108	0.0968899
3.01		-0.0510976	0.0872593
2.99		-0.0489037	0.0803682
2.97		-0.0488353	0.0707077
2.95		-0.0524733	0.0209741
2.93		-0.0512452	0.0402792
2.91		-0.0370217	0.0832009
2.89		-0.0491425	0.0564887
2.87		-0.0366367	0.0180293
2.85		-0.0264522	0.0277487
2.83		-0.0429561	0.0106616
2.81		-0.0573357	0.0783375
2.79		-0.0512321	0.0917374
2.77		0.0559664	0.0617942
2.75		0.0784753	0.0533117
2.73		0.0694771	0.0641314
2.71		0.0619409	0.0597376
2.69		0.0424186	0.03755
2.67		0.0473676	0.0378556
2.65		0.0482113	0.0251179
2.63		-0.0599501	0.0484436
2.61		-0.0552934	0.0459247
2.59		-0.0660933	-0.0216061
2.57		0.0109346	0.0115778
2.55		0.0371193	-0.000703755
2.53		0.0386592	0.0193625
2.51		0.0223354	0.0262954
2.49		-0.0358437	0.0457319
2.47		-0.0465108	0.0500651
2.45		-0.0552153	0.0384274
2.43		-0.0522763	0.00596372
2.41		-0.0110012	0.0340177
2.39		0.00214095	0.0217452
2.37		-0.00802074	0.0761896
2.35		-0.0478657	0.089401
2.33		-0.057606	0.0896845
2.31		-0.0510858	0.0742966
2.29		-0.00444513	0.0910238
2.27		-0.0239233	0.120165
2.25		-0.0460523	0.076446
2.23		-0.0521035	0.0532954
2.21		-0.0351753	0.0714699
2.19		-0.0811348	0.0372777
2.17		-0.0818226	0.0283561
2.15		-0.0730024	0.0018285
2.13		-0.045894	0.0869715
2.11		-0.0120205	0.140029
2.09		0.0552305	0.100981
2.07		0.07525	0.095042
2.05		0.0870163	0.0785065
2.03		0.0900431	0.0738199
2.01		0.0865788	0.081308
1.99		0.041656	0.115511
