Primary ID		M3.p[1]	M3.p[2]
6.19		0.0313073	0.0438327
6.17		0.0332986	0.0125523
6.15		0.00693082	-0.00415945
6.13		-0.0024126	0.00553134
6.11		0.00837388	0.00309023
6.09		-0.01019	0.0181006
6.07		-0.0148668	0.0179792
6.05		-0.0233629	0.0237314
6.03		-0.0217271	0.0203788
6.01		-0.0245597	0.0236797
5.99		-0.0254518	0.0220555
5.97		-0.0209811	0.0159211
5.95		-0.0278013	0.0120618
5.93		-0.030701	0.0131143
5.91		-0.0189392	-0.00367498
5.89		0.0143704	-0.0232179
5.87		-0.00363044	0.00972417
5.85		0.0204411	0.00526217
5.83		0.0338243	0.0347541
5.81		0.0485209	0.0446038
5.79		0.0374268	0.0230727
5.77		0.0354314	0.0240261
5.75		0.0336961	0.00683652
5.73		0.0210945	0.014842
5.71		0.0323574	0.0270699
5.69		0.0353621	0.0404573
5.67		0.0399022	0.0355921
5.65		0.0402593	0.0372867
5.63		0.03105	0.0511762
5.61		-0.00935296	0.0319976
5.59		0.0223768	0.0542261
5.57		0.00520271	0.0511662
5.55		-0.00402099	0.0409856
5.53		0.00521555	0.0301736
5.51		0.011816	0.0363164
5.49		0.0189986	0.0678176
5.47		0.0294816	0.0462304
5.45		0.0458011	0.0685844
5.43		0.0436868	0.0760652
5.41		0.0360969	0.042154
5.39		0.0605911	0.0576721
5.37		0.0624917	0.0661543
5.35		0.0357779	0.0974574
5.33		0.0286296	0.0441569
5.31		0.0297329	0.0243674
5.29		0.0275454	0.0241522
5.27		0.050254	0.0501057
5.25		0.066574	0.086884
5.23		0.0628948	0.0531237
5.21		0.0720399	0.104051
5.19		0.0689271	0.0921343
5.17		0.0597893	0.0914071
5.15		0.0396053	0.0945534
5.13		0.0156873	0.088279
5.11		0.031749	0.0982386
5.09		0.0263302	0.0859773
5.07		-0.00228469	0.0578889
5.05		-0.0124385	0.0470129
5.03		-0.0143337	0.0488182
5.01		-0.0167429	0.0483646
4.99		-0.0180633	0.0469397
