Primary ID		M7.p(ctr)[1]	M7.p(corr)[1]
6.37		0.000338993	0.243356
6.35		4.92354e-05	0.297878
6.33		2.7773e-05	0.253142
6.31		2.55821e-05	0.172569
6.29		4.61894e-05	0.337729
6.27		9.09792e-05	0.154313
6.25		3.30441e-05	0.414501
6.23		3.09496e-05	0.165239
6.21		2.30291e-05	0.331258
6.19		-6.87529e-05	-0.391603
6.17		2.58686e-06	0.0238644
6.15		8.16838e-05	0.232788
6.13		5.03515e-05	0.378265
6.11		0.000120451	0.313392
6.09		-1.28886e-05	-0.0609887
6.07		4.47363e-05	0.283973
6.05		9.22224e-05	0.41435
6.03		3.5032e-05	0.131186
6.01		3.74271e-05	0.0814496
5.99		0.000103303	0.243565
5.97		7.43358e-05	0.129501
5.95		8.11578e-05	0.154253
5.93		0.000123877	0.221467
5.91		0.000103234	0.269362
5.89		0.000152063	0.207177
5.87		3.56535e-05	0.195157
5.85		1.86908e-05	0.086595
5.83		-2.66186e-05	-0.0905021
5.81		3.70207e-05	0.080983
5.79		0.00109576	0.412091
5.77		-0.000191033	-0.271238
5.75		-0.000204104	-0.305691
5.73		-0.000241916	-0.451373
5.71		-0.000147201	-0.361751
5.69		5.02132e-05	0.0315197
5.67		0.000820168	0.263972
5.65		0.000794759	0.272484
5.63		0.000130831	0.221778
5.61		9.72564e-05	0.0766805
5.59		2.40239e-05	0.0196808
5.57		8.3268e-05	0.124736
5.55		2.95718e-06	0.00623857
5.53		-6.50827e-05	-0.102367
5.51		-0.000189452	-0.21923
5.49		-0.000271112	-0.34442
5.47		-0.000165328	-0.134432
5.45		-0.000689732	-0.32802
5.43		-0.00252471	-0.226473
5.41		-0.000261876	-0.0737757
5.39		-2.60286e-05	-0.00597211
5.37		-0.00130755	-0.164354
5.35		-0.000402402	-0.168121
5.33		-0.00116168	-0.275071
5.31		-0.00801806	-0.357004
5.29		-0.00333307	-0.391684
5.27		-0.00407006	-0.538773
5.25		-0.00491689	-0.441329
5.23		-0.0194391	-0.684798
5.21		-0.0107185	-0.679955
5.19		-0.00564412	-0.357523
5.17		-0.00424029	-0.403951
5.15		-0.00294227	-0.267981
5.13		-0.00350105	-0.336365
5.11		-0.00308498	-0.337508
5.09		-0.00232311	-0.228295
5.07		-0.000907578	-0.303207
5.05		-3.55309e-05	-0.0155971
5.03		-0.00120603	-0.217513
5.01		-0.00639309	-0.277447
4.99		0.000538317	0.131549
4.97		0.000711856	0.137722
4.95		0.00130069	0.188405
4.93		0.00111913	0.120187
4.91		0.00113237	0.0845852
4.89		0.00120439	0.0586885
4.67		-0.00683019	-0.265138
4.65		-0.0138117	-0.422467
4.63		-0.00603511	-0.236242
